Cattle Decapitation,The Anthropocene Extinction,8,Loud Rock
Chelsea Wolfe,Abyss,8,Loud Rock
Code Orange ,Forever,8,Loud Rock
Deafheaven,Sunbather,8,Loud Rock
Dying Fetus,Wrong One to Fuck With,8,Loud Rock
Elder,Reflections of a Floating World,8,Loud Rock
Full of Hell,Full of Hell & Merzbow,8,Loud Rock
Ghost ,Prequelle,8,Loud Rock
Gorguts,Colored Sands,8,Loud Rock
High On Fire,Luminiferous,8,Loud Rock
Iceage,You're Nothin,8,Loud Rock
Idles,Brutalism,8,Loud Rock
IDYLLS,PRAYER FOR TERRENE,8,Loud Rock
Indian,From All Purity,8,Loud Rock
Judas Priest,Firepower,8,Loud Rock
KEN mode,Success,8,Loud Rock
Kvelertak,Meir,8,Loud Rock
Leviathan,Scar Sighted,8,Loud Rock
Moonsorrow,Jumalten Aika,8,Loud Rock
Nails,You Will Never Be One of Us,8,Loud Rock
Pallbearer,Heartless,8,Loud Rock
Panopticon,Autumn Eternal,8,Loud Rock
Panopticon,Roads To The North,8,Loud Rock
Primitive Man,Caustic,8,Loud Rock
Show Me The Body,Body War,8,Loud Rock
Sleep,The Sciences,8,Loud Rock
Street Sects,End Position,8,Loud Rock
Thantifaxath,Sacred White Noise,8,Loud Rock
The Dillinger Escape Plan,One Of Us Is The Killer,8,Loud Rock
This Routine Is Hell,Howl,8,Loud Rock
Touch\xc3\xa9 Amor\xc3\xa9,Stage Four,8,Loud Rock
Vektor ,Terminal Redux,8,Loud Rock
Integrity,Howling, For The Nightmare Shall Consume,7,Loud Rock
Cara Neir,Portals To A Better, Dead World,7,Loud Rock
An Autumn For Crippled Children,Try Not To Destroy Everything You Love,7,Loud Rock
Calvaiire,Forceps,7,Loud Rock
Chelsea Wolfe,Hiss Spun,7,Loud Rock
Dope Body,Kunk,7,Loud Rock
Dope Body,Saturday,7,Loud Rock
Ghoul,Dungeon Bastards,7,Loud Rock
Godflesh,A World Lit Only By Fire,7,Loud Rock
Grave Babies,Crusher,7,Loud Rock
Haunted Horses,Watcher,7,Loud Rock
Kayo Dot,Hubardo,7,Loud Rock
Keiji Haino + Sumac,American Dollar Bill,7,Loud Rock
KEN mode,Entrench,7,Loud Rock
Krallice,Hyperion,7,Loud Rock
Kylesa,Exhausting Fire,7,Loud Rock
Lightning Bolt,Fantasy Empire,7,Loud Rock
Liturgy,The Ark Work,7,Loud Rock
Loma Prieta,Self Portrait,7,Loud Rock
Lycus,Tempest,7,Loud Rock
Mastodon,Once More, Round the Sun,7,Loud Rock
Mayhem,Esoteric Warfare,7,Loud Rock
Megaton Leviathan,Past 21: Beyond The Arctic Cell,7,Loud Rock
Modern Life Is War,Fever Hunting,7,Loud Rock
Nails,Abandon All Life,7,Loud Rock
Neurosis,Honor Found In Decay,7,Loud Rock
OFF!,Wasted Years,7,Loud Rock
ORANSSI PAZUZU,V\xc3\xa4r\xc3\xa4htelij\xc3\xa4,7,Loud Rock
Peste Noire,La Chaise-Dyable,7,Loud Rock
Pissed Jeans,Honeys,7,Loud Rock
Power Trip,Nightmare Logic,7,Loud Rock
Soupcans,Parasite Brain,7,Loud Rock
Swain,Heavy Dancing,7,Loud Rock
The Dillinger Escape Plan,Dissociation,7,Loud Rock
TOAD,Endless Night,7,Loud Rock
Tribulation,The Children of the Night,7,Loud Rock
Vallenfyre,Splinters,7,Loud Rock
Wormrot,Voices,7,Loud Rock
Autopsy,The Headless Ritual,6,Loud Rock
Babymetal,Metal Resistance,6,Loud Rock
Circles Takes the Square,Decompositions: Volume Number One,6,Loud Rock
Code Orange,I Am King,6,Loud Rock
Code Orange Kids,Love Is Love // Return To Dust,6,Loud Rock
Darkthrone,The Underground Resistance,6,Loud Rock
Dead In The Dirt,The Blind Hole,6,Loud Rock
Deafheaven,New Bermuda,6,Loud Rock
Dragged Into Sunlight,Widowmaker,6,Loud Rock
Earth,Primitive and Deadly,6,Loud Rock
Faith No More,Sol Invictus,6,Loud Rock
Full of Hell,Trumpeting Ecstasy,6,Loud Rock
Hoax,3rd,6,Loud Rock
Holograms,Forever,6,Loud Rock
Iron Maiden,The Book of Souls,6,Loud Rock
Krallice,Ygg Huur,6,Loud Rock
Kvelertak,Nattesferd,6,Loud Rock
Lord Mantis,Death Mask,6,Loud Rock
Myrkur,M,6,Loud Rock
Oranssi Pazuzu,Valonielu,6,Loud Rock
Pallbearer,Foundations of Burden,6,Loud Rock
Pig Destroyer,Book Burner,6,Loud Rock
Sunn o))),Kannon,6,Loud Rock
Toxic Holocaust,Chemistry of Consciousness,6,Loud Rock
Vein ,Errorzone,6,Loud Rock
Xibalba,Tierra Y Libertad,6,Loud Rock
Cult of Luna,Vertikal,5,Loud Rock
Electric Wizard,Time To Die,5,Loud Rock
letlive.,The Blackest Beautiful,5,Loud Rock
Marilyn Manson,Heaven Upside Down,5,Loud Rock
Negur\xc4\x83 Bunget,T\xc4\x82U,5,Loud Rock
Portal,Vexovoid,5,Loud Rock
The Game,Jesus Piece,5,Loud Rock
The Secret,Agnus Dei,5,Loud Rock
Trap Them,Blissfucker,5,Loud Rock
Trash Talk,No Peace,5,Loud Rock
Turnstile,Time & Space,5,Loud Rock
Between the Buried and Me,The Parallax II: Future Sequence,4,Loud Rock
Deftones ,Gore,4,Loud Rock
Fallujah,The Flesh Prevails,4,Loud Rock
Korn,The Serenity of Suffering,4,Loud Rock
Mastodon,Emperor of Sand,4,Loud Rock
Oathbreaker,Rheia,4,Loud Rock
Green Day,Revolution Radio,3,Loud Rock
Twitching Tongues,Disharmony,3,Loud Rock
Death Grips,The Powers That B Pt. 1 a.k.a. Niggas On The Moon,none,Other
